pm25,pm10,o3,co,no2,so2
18.0,41.0,28.0,0.47,8.0,1.0
18.0,33.0,30.0,0.5,6.0,1.0
12.0,33.0,25.0,0.53,9.0,1.0
11.0,36.0,16.0,0.59,18.0,1.0
18.0,34.0,12.0,0.64,23.0,1.0
10.0,41.0,12.0,0.71,23.5,1.0
14.0,50.0,15.5,0.78,24.0,1.0
17.0,56.0,19.0,0.8,29.0,2.0
24.0,60.0,22.0,0.81,33.0,3.0
27.0,80.0,30.0,0.78,35.0,3.0
24.0,78.0,43.0,0.72,31.0,3.0
23.0,74.0,56.0,0.63,25.0,2.0
23.0,63.0,57.0,0.47,14.0,1.0
14.0,39.0,56.0,0.47,14.0,1.0
16.0,40.0,70.0,0.67,24.0,2.0
23.0,70.0,68.0,0.73,25.0,3.0
28.0,74.0,60.0,0.79,27.0,3.0
33.0,77.0,47.0,0.86,28.0,3.0
32.0,73.0,32.0,0.97,33.0,4.0
38.0,84.0,32.0,0.92,30.0,6.0
36.0,66.0,24.0,0.87,30.0,4.0
36.0,66.0,14.0,0.83,33.0,2.0
34.0,71.0,14.0,0.78,34.0,1.0
36.0,67.0,21.0,0.74,25.0,1.0
36.0,63.0,15.0,0.7,25.0,1.0
43.0,66.0,6.0,0.81,30.0,2.0
52.0,85.0,3.0,0.74,33.0,2.0
39.0,77.0,4.0,0.68,37.0,2.0
38.0,81.0,3.0,0.795,36.5,2.0
34.0,67.0,7.5,0.91,36.0,2.0
39.0,82.0,12.0,0.82,37.0,3.0
35.0,77.0,22.0,0.71,33.0,2.0
29.0,63.0,36.0,0.53,22.0,1.0
19.0,36.0,48.0,0.45,15.0,1.0
13.0,34.0,56.0,0.41,11.0,1.0
10.0,28.0,58.0,0.41,11.0,1.0
13.0,30.0,59.0,0.45,14.0,1.0
11.0,29.0,50.0,0.44,15.0,1.0
15.0,36.0,58.0,0.53,19.0,1.0
16.0,43.0,58.0,0.6,24.0,1.0
17.0,55.0,43.0,0.7,27.0,3.0
21.0,58.0,27.0,0.71,35.0,4.0
28.0,64.0,11.0,0.82,44.0,3.0
33.0,67.0,7.0,0.83,47.0,2.0
31.0,71.0,4.0,0.9,50.0,2.0
40.0,70.0,4.0,0.9,47.0,2.0
41.0,80.0,4.0,0.85,43.0,2.0
36.0,71.0,3.0,0.87,43.0,1.0
40.0,81.0,4.0,0.88,43.0,2.0
51.0,84.0,3.0,0.84,39.0,2.0
50.0,79.0,3.0,0.78,34.0,2.0
44.0,79.0,3.0,0.975,35.5,2.5
46.0,88.0,4.0,1.17,37.0,3.0
49.0,129.0,5.0,1.16,37.0,3.0
44.0,100.0,13.0,0.74,30.0,3.0
21.0,59.0,26.0,0.65,24.0,1.0
26.0,48.0,32.0,0.73,33.0,2.0
32.0,72.0,39.0,0.64,30.0,2.0
31.0,67.0,51.0,0.53,20.0,2.0
16.0,52.0,62.0,0.5,17.0,2.0
21.0,59.0,69.0,0.49,17.0,2.0
16.0,52.0,66.0,0.53,19.0,2.0
18.0,57.0,64.0,0.57,20.0,2.0
21.0,62.0,50.0,0.61,24.0,2.0
21.0,61.0,36.0,0.65,24.0,2.0
18.0,55.0,22.0,0.67,31.0,2.0
22.0,47.0,25.0,0.56,23.0,1.0
13.0,24.0,28.0,0.52,18.0,1.0
12.0,42.0,19.0,0.59,23.0,1.0
21.0,38.0,17.0,0.59,27.0,1.0
20.0,40.0,26.0,0.48,19.0,1.0
17.0,32.0,31.0,0.43,12.0,1.0
18.0,33.0,31.0,0.43,9.0,1.0
25.0,34.0,29.0,0.44,9.0,1.0
16.0,34.0,23.0,0.49,15.0,1.0
16.0,34.0,14.5,0.54,21.0,1.0
14.0,38.0,6.0,0.63,31.0,1.0
19.0,48.0,11.0,0.63,26.0,1.0
16.0,63.0,18.0,0.58,21.0,1.0
13.0,52.0,28.0,0.45,14.0,1.0
13.0,42.0,33.0,0.43,12.0,1.0
9.0,34.0,40.0,0.46,12.0,1.0
7.0,31.0,47.0,0.46,11.0,1.0
7.0,28.0,57.0,0.53,14.0,1.0
13.0,50.0,63.0,0.58,19.0,1.0
18.0,66.0,68.0,0.56,16.0,2.0
19.0,60.0,63.0,0.6,19.0,1.0
24.0,67.0,54.0,0.65,25.0,1.0
21.0,66.0,45.0,0.69,27.0,2.0
28.0,69.0,31.0,0.76,31.0,2.0
29.0,64.0,24.0,0.72,31.0,2.0
19.0,46.0,32.0,0.58,19.0,1.0
21.0,43.0,30.0,0.58,20.0,1.0
16.0,42.0,35.0,0.54,17.0,1.0
20.0,45.0,38.0,0.46,12.0,1.0
20.0,44.0,36.0,0.45,11.0,1.0
18.0,35.0,27.0,0.47,16.0,1.0
20.0,38.0,21.0,0.49,19.5,1.5
31.0,48.0,19.0,0.51,23.0,2.0
23.0,52.0,17.0,0.49,26.0,1.0
23.0,49.0,19.0,0.49,22.0,1.0
19.0,42.0,19.0,0.49,18.0,1.0
18.0,42.0,24.0,2.72,16.0,1.0
19.0,58.0,32.0,0.43,10.0,1.0
13.0,37.0,37.0,0.4,9.0,1.0
13.0,31.0,43.0,0.43,10.0,1.0
13.0,35.0,49.0,0.46,13.0,1.0
15.0,43.0,51.0,0.52,18.0,2.0
24.0,67.0,63.0,0.47,15.0,2.0
17.0,72.0,73.0,0.48,11.0,2.0
20.0,61.0,65.0,0.52,19.0,2.0
23.0,70.0,60.0,0.55,20.0,2.0
20.0,66.0,39.0,0.62,27.0,2.0
23.0,61.0,30.0,0.6,34.0,2.0
31.0,67.0,34.0,0.57,28.0,2.0
28.0,61.0,36.0,0.54,24.0,1.0
27.0,55.0,24.0,0.6,28.0,1.0
32.0,55.0,25.0,0.57,27.0,1.0
25.0,53.0,22.0,0.57,27.0,2.0
33.0,62.0,21.0,0.53,28.0,2.0
29.0,60.0,25.0,0.495,23.5,2.5
27.0,60.0,25.5,0.46,19.0,3.0
21.0,62.0,26.0,0.43,18.0,2.0
24.0,61.0,22.0,0.45,20.0,3.0
25.0,56.0,19.0,0.48,21.0,2.0
24.0,52.0,17.0,0.52,23.0,2.0
29.0,63.0,22.0,0.52,20.0,2.0
32.0,55.0,27.0,0.5,18.0,2.0
27.0,55.0,33.0,0.49,17.0,2.0
21.0,57.0,44.0,0.49,14.0,2.0
21.0,59.0,52.0,0.5,13.0,2.0
19.0,65.0,62.0,0.5,14.0,2.0
